index,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%,Year,Tm,Playoff
5,.340,102,.292,.152,2.9%,15.1%,7.6%,17.5%,44.6%,27.5%,0.85,27.3%,57.1%,15.6%,4.3,2.5%,28.8,31%,68%,42%,2010,Chicago White Sox,No
6,.350,108,.314,.164,3.0%,19.4%,8.3%,20.1%,41.6%,28.3%,0.75,26.2%,56.6%,17.1%,6.5,5.5%,85.1,31%,68%,46%,2010,Cincinnati Reds,No
7,.320,97,.293,.130,2.1%,19.2%,8.8%,18.3%,44.1%,28.6%,0.82,29.2%,54.5%,16.3%,-6.1,-0.9%,-48.0,28%,73%,36%,2010,Cleveland Indians,No
8,.341,90,.310,.162,2.8%,20.3%,9.3%,21.0%,41.6%,27.8%,0.74,24.5%,58.8%,16.7%,-1.9,-0.1%,22.8,31%,70%,45%,2010,Colorado Rockies,No
9,.339,103,.311,.147,2.4%,18.2%,8.7%,21.5%,42.8%,26.0%,0.78,26.9%,55.1%,17.9%,3.2,1.2%,32.2,31%,70%,40%,2010,Detroit Tigers,No
10,.329,91,.309,.149,2.5%,22.2%,8.3%,19.7%,44.2%,26.3%,0.83,26.4%,57.6%,16.1%,0.2,0.3%,13.3,31%,78%,41%,2010,Florida Marlins,No
11,.305,79,.285,.115,1.8%,17.1%,6.9%,17.2%,46.4%,26.0%,0.92,24.9%,58.3%,16.8%,-4.2,-1.8%,-86.2,30%,74%,40%,2010,Houston Astros,No
12,.331,99,.305,.126,2.0%,14.6%,7.6%,18.8%,43.7%,28.2%,0.81,23.7%,60.9%,15.4%,-5.7,-0.6%,-38.9,28%,70%,35%,2010,Kansas City Royals,No
13,.319,94,.281,.142,2.6%,17.6%,7.7%,16.0%,44.9%,30.3%,0.86,24.2%,59.6%,16.1%,-6.7,-2.3%,-27.1,30%,67%,45%,2010,Los Angeles Angels of Anaheim,No
14,.321,92,.299,.127,2.0%,19.3%,8.7%,19.3%,44.3%,27.0%,0.84,24.1%,58.7%,17.2%,-6.6,-3.0%,-22.9,30%,65%,44%,2010,Los Angeles Dodgers,No
15,.344,105,.304,.161,2.9%,19.3%,8.7%,20.2%,44.0%,26.0%,0.82,25.1%,57.2%,17.7%,3.3,0.6%,46.8,29%,76%,36%,2010,Milwaukee Brewers,No
16,.342,109,.306,.148,2.3%,15.5%,8.9%,17.6%,45.8%,29.0%,0.87,24.0%,59.4%,16.7%,8.2,8.8%,76.9,31%,71%,41%,2010,Minnesota Twins,No
17,.317,88,.287,.134,2.1%,17.8%,8.2%,18.4%,41.5%,28.5%,0.75,25.1%,58.4%,16.6%,-9.1,-4.7%,-43.0,29%,75%,42%,2010,New York Mets,No
18,.354,109,.300,.169,3.2%,17.8%,10.4%,18.7%,44.3%,28.7%,0.82,26.0%,57.8%,16.1%,9.1,7.1%,130.2,32%,77%,38%,2010,New York Yankees,Yes
19,.326,94,.297,.122,1.8%,17.4%,8.6%,21.0%,41.5%,27.2%,0.73,25.5%,57.7%,16.7%,-6.4,-3.5%,-40.9,29%,80%,44%,2010,Oakland Athletics,No
20,.339,98,.292,.153,2.6%,16.9%,8.9%,19.7%,44.1%,27.8%,0.81,28.3%,56.3%,15.4%,5.8,3.9%,61.8,32%,84%,39%,2010,Philadelphia Phillies,No
21,.310,83,.288,.131,2.1%,20.2%,7.8%,16.7%,45.6%,27.9%,0.88,26.5%,57.2%,16.3%,-10.9,-1.4%,-106.7,27%,71%,37%,2010,Pittsburgh Pirates,No
22,.313,92,.290,.125,2.2%,19.2%,8.8%,18.4%,43.9%,25.9%,0.83,25.8%,58.3%,16.0%,-6.0,-11.1%,-13.7,29%,71%,37%,2010,San Diego Padres,No
23,.296,79,.282,.104,1.7%,19.8%,7.7%,19.7%,43.6%,26.0%,0.81,24.3%,58.6%,17.1%,-18.3,-2.8%,-183.2,24%,78%,36%,2010,Seattle Mariners,No
24,.329,97,.293,.151,2.6%,17.9%,7.9%,18.4%,43.7%,28.0%,0.81,26.5%,57.2%,16.4%,-2.3,-5.4%,1.2,29%,63%,38%,2010,San Francisco Giants,No
25,.331,100,.296,.139,2.4%,16.5%,8.7%,19.7%,44.9%,26.2%,0.85,24.2%,58.7%,17.1%,0.2,0.0%,41.6,31%,66%,41%,2010,St. Louis Cardinals,No
26,.337,106,.293,.156,2.6%,20.6%,10.7%,18.5%,41.2%,30.4%,0.73,29.6%,54.8%,15.6%,7.4,5.9%,104.7,33%,79%,45%,2010,Tampa Bay Rays,No
27,.342,98,.307,.143,2.6%,15.7%,8.1%,18.1%,44.6%,28.4%,0.84,23.6%,59.0%,17.4%,3.1,2.5%,47.4,31%,72%,42%,2010,Texas Rangers,No
28,.341,103,.269,.206,4.2%,19.2%,7.8%,18.3%,39.4%,31.3%,0.66,28.7%,57.4%,13.8%,2.4,0.5%,36.3,30%,74%,36%,2010,Toronto Blue Jays,No
29,.322,90,.294,.140,2.4%,20.0%,8.3%,18.7%,45.4%,26.2%,0.89,25.8%,56.6%,17.6%,-5.6,-0.4%,-43.4,28%,73%,36%,2010,Washington Nationals,No
0,.330,96,.294,.163,2.8%,20.5%,8.7%,18.1%,40.6%,30.6%,0.71,28.0%,55.2%,16.8%,7.4,5.5%,64.4,31%,71%,43%,2011,Arizona Diamondbacks,No
1,.316,88,.284,.144,2.8%,20.4%,8.2%,14.9%,44.8%,29.3%,0.86,31.3%,51.6%,17.1%,-3.4,-5.9%,-30.1,27%,64%,46%,2011,Atlanta Braves,No
2,.326,96,.288,.156,3.1%,18.2%,7.3%,17.2%,43.8%,30.6%,0.80,28.0%,54.6%,17.3%,-2.3,-1.8%,-25.5,29%,76%,42%,2011,Baltimore Orioles,No
3,.358,116,.314,.181,3.2%,17.3%,9.0%,18.0%,43.2%,31.0%,0.77,29.1%,54.0%,16.8%,5.8,4.0%,137.2,33%,71%,39%,2011,Boston Red Sox,No
4,.326,94,.301,.144,2.4%,19.6%,6.9%,20.2%,43.8%,26.4%,0.82,28.5%,54.8%,16.7%,0.5,0.3%,-12.0,28%,75%,35%,2011,Chicago Cubs,No
5,.317,87,.280,.136,2.5%,16.1%,7.7%,18.8%,42.6%,27.3%,0.78,30.2%,52.8%,17.1%,-10.1,-5.1%,-92.7,27%,60%,37%,2011,Chicago White Sox,No
6,.334,99,.297,.152,2.9%,19.8%,8.5%,19.5%,43.3%,27.3%,0.80,26.9%,56.2%,16.9%,4.0,1.2%,53.8,29%,66%,42%,2011,Cincinnati Reds,No
7,.318,99,.297,.146,2.5%,20.7%,8.0%,18.8%,44.8%,27.7%,0.83,27.9%,58.0%,14.1%,-1.8,-4.2%,2.0,30%,68%,41%,2011,Cleveland Indians,No
8,.336,87,.300,.152,2.6%,19.1%,8.8%,19.3%,43.5%,26.7%,0.82,26.0%,56.7%,17.3%,-3.9,-1.1%,12.5,30%,74%,44%,2011,Colorado Rockies,No
9,.344,110,.318,.157,2.7%,18.3%,8.4%,19.8%,40.7%,30.2%,0.71,28.6%,53.4%,18.0%,7.0,3.7%,71.0,31%,71%,36%,2011,Detroit Tigers,No
10,.321,91,.291,.142,2.4%,20.0%,8.7%,20.2%,43.0%,25.7%,0.80,27.1%,56.0%,16.9%,-5.4,-0.5%,-51.2,26%,70%,40%,2011,Florida Marlins,No
11,.313,87,.308,.116,1.5%,18.9%,6.5%,20.0%,44.5%,25.3%,0.85,26.9%,56.2%,16.9%,-8.5,0.1%,-45.1,29%,78%,34%,2011,Houston Astros,No
12,.334,104,.311,.140,2.1%,16.1%,7.1%,17.9%,44.7%,27.7%,0.84,25.4%,57.9%,16.7%,-3.5,-1.4%,7.7,31%,73%,38%,2011,Kansas City Royals,No
13,.322,103,.288,.149,2.6%,17.8%,7.3%,15.7%,43.4%,29.4%,0.81,27.3%,57.0%,15.8%,-3.2,-3.8%,-24.6,29%,72%,48%,2011,Los Angeles Angels of Anaheim,No
14,.317,93,.299,.118,1.9%,17.8%,8.2%,18.0%,43.8%,28.0%,0.83,23.9%,57.4%,18.7%,-2.6,-1.5%,1.1,29%,76%,43%,2011,Los Angeles Dodgers,No
15,.338,102,.293,.164,3.0%,17.7%,7.9%,18.7%,44.7%,26.5%,0.85,28.6%,54.1%,17.3%,10.2,8.2%,57.0,30%,75%,41%,2011,Milwaukee Brewers,No
16,.304,83,.288,.113,1.7%,17.4%,7.3%,15.5%,47.7%,26.6%,0.95,26.3%,56.6%,17.1%,-8.8,-2.4%,-90.9,29%,70%,44%,2011,Minnesota Twins,No
17,.332,103,.307,.127,1.7%,17.1%,9.0%,19.3%,42.3%,29.0%,0.76,27.4%,55.6%,17.1%,6.1,0.9%,60.9,30%,79%,39%,2011,New York Mets,No
18,.352,110,.292,.181,3.5%,18.1%,9.9%,17.7%,45.6%,27.6%,0.87,31.2%,52.4%,16.4%,5.1,3.7%,130.2,33%,76%,38%,2011,New York Yankees,No
19,.311,88,.283,.125,1.9%,17.9%,8.3%,19.8%,40.9%,29.0%,0.71,28.5%,53.7%,17.9%,-11.6,-5.6%,-68.2,30%,73%,38%,2011,Oakland Athletics,No
20,.329,96,.283,.142,2.4%,16.3%,8.6%,18.5%,44.3%,28.0%,0.82,30.6%,52.6%,16.8%,2.2,0.3%,46.6,30%,80%,42%,2011,Philadelphia Phillies,No
21,.309,89,.301,.123,1.8%,21.6%,8.1%,18.1%,44.3%,29.2%,0.84,28.1%,55.3%,16.7%,-3.0,-2.6%,-43.4,29%,68%,38%,2011,Pittsburgh Pirates,No
22,.302,84,.294,.112,1.5%,21.7%,8.3%,17.0%,45.7%,28.2%,0.88,26.2%,56.4%,17.4%,-13.0,-3.5%,-54.1,29%,79%,43%,2011,San Diego Padres,No
23,.292,83,.283,.115,1.8%,21.4%,7.3%,18.0%,45.2%,27.3%,0.85,26.6%,55.9%,17.5%,-12.6,-5.1%,-127.0,27%,76%,41%,2011,Seattle Mariners,No
24,.305,91,.281,.126,2.0%,18.4%,7.4%,16.7%,44.6%,27.4%,0.85,28.6%,54.8%,16.6%,-5.5,-6.4%,-76.2,26%,63%,41%,2011,San Francisco Giants,No
25,.342,112,.305,.151,2.6%,15.7%,8.7%,19.6%,46.6%,25.1%,0.92,25.4%,56.1%,18.5%,14.8,13.4%,104.9,30%,59%,43%,2011,St. Louis Cardinals,Yes
26,.328,107,.281,.159,2.8%,19.4%,9.3%,17.3%,42.9%,29.8%,0.78,29.9%,54.2%,15.9%,3.7,4.4%,10.8,30%,71%,43%,2011,Tampa Bay Rays,Yes
27,.358,112,.304,.177,3.4%,14.9%,7.6%,18.4%,44.7%,28.8%,0.84,25.7%,56.9%,17.4%,8.2,7.4%,120.7,34%,76%,44%,2011,Texas Rangers,No
28,.328,96,.283,.164,3.0%,19.1%,8.5%,17.6%,41.1%,29.3%,0.72,31.5%,52.9%,15.6%,0.7,-1.2%,1.9,31%,72%,43%,2011,Toronto Blue Jays,No
29,.316,88,.292,.140,2.5%,21.7%,7.7%,17.7%,45.3%,26.5%,0.88,26.7%,54.3%,18.9%,-5.3,-2.0%,-40.0,27%,74%,40%,2011,Washington Nationals,No
0,.331,97,.307,.159,2.7%,20.6%,8.8%,19.8%,41.6%,29.6%,0.74,27.1%,55.7%,17.3%,1.1,-1.0%,43.3,31%,65%,41%,2012,Arizona Diamondbacks,No
1,.320,88,.296,.142,2.4%,21.0%,9.3%,18.7%,44.7%,27.7%,0.85,27.8%,53.6%,18.6%,2.3,1.5%,10.6,30%,76%,43%,2012,Atlanta Braves,Yes
2,.321,95,.286,.170,3.5%,21.4%,7.8%,17.6%,44.2%,28.8%,0.82,30.2%,53.2%,16.6%,0.1,-0.1%,-20.1,29%,67%,39%,2012,Baltimore Orioles,Yes
3,.324,94,.301,.155,2.7%,19.4%,6.9%,18.5%,42.5%,30.3%,0.76,27.5%,54.8%,17.6%,-2.1,0.1%,3.4,32%,76%,42%,2012,Boston Red Sox,No
4,.310,83,.286,.138,2.3%,20.7%,7.5%,19.8%,45.0%,26.8%,0.85,27.8%,54.6%,17.6%,-9.9,-1.4%,-71.1,29%,68%,44%,2012,Chicago Cubs,No
5,.329,98,.289,.167,3.5%,19.7%,7.5%,20.3%,42.1%,27.6%,0.75,29.2%,52.2%,18.6%,0.3,-2.2%,23.9,30%,72%,39%,2012,Chicago White Sox,No
6,.326,91,.296,.159,2.8%,20.7%,7.9%,19.3%,42.1%,28.3%,0.77,26.3%,56.8%,16.9%,4.0,5.0%,-23.7,28%,76%,42%,2012,Cincinnati Reds,No
7,.318,101,.288,.131,2.2%,17.6%,9.0%,19.5%,46.5%,25.8%,0.89,29.7%,54.7%,15.7%,-2.6,0.9%,-28.1,28%,71%,36%,2012,Cleveland Indians,No
8,.341,92,.321,.163,2.7%,19.6%,7.3%,20.7%,45.4%,25.1%,0.88,26.5%,56.8%,16.7%,-0.7,0.7%,22.8,32%,71%,45%,2012,Colorado Rockies,No
9,.334,102,.307,.154,2.7%,18.0%,8.4%,19.0%,44.3%,29.3%,0.82,25.3%,55.8%,18.9%,2.4,2.4%,8.5,30%,72%,38%,2012,Detroit Tigers,No
10,.307,81,.288,.135,2.4%,22.7%,7.7%,18.4%,45.0%,26.9%,0.86,28.1%,55.1%,16.8%,-13.6,-1.6%,-104.3,26%,70%,39%,2012,Houston Astros,No
11,.318,91,.302,.135,2.1%,16.8%,6.6%,18.5%,45.7%,26.7%,0.87,26.1%,56.6%,17.3%,-8.4,-2.4%,-48.4,30%,78%,40%,2012,Kansas City Royals,No
12,.341,116,.311,.159,3.1%,18.2%,7.3%,17.0%,46.6%,26.8%,0.92,28.7%,53.5%,17.9%,8.9,6.4%,84.7,31%,80%,49%,2012,Los Angeles Angels of Anaheim,No
13,.312,89,.298,.122,1.9%,19.0%,7.9%,19.4%,45.0%,25.0%,0.87,25.4%,56.2%,18.4%,-3.2,-4.8%,-32.0,29%,70%,39%,2012,Los Angeles Dodgers,No
14,.311,81,.289,.138,2.3%,20.3%,8.0%,19.1%,43.7%,27.2%,0.82,26.9%,55.7%,17.4%,-7.8,-2.1%,-84.6,27%,78%,40%,2012,Miami Marlins,No
15,.342,101,.299,.177,3.2%,19.9%,7.5%,17.8%,43.5%,27.5%,0.82,26.0%,55.8%,18.2%,6.6,-0.2%,71.5,32%,80%,38%,2012,Milwaukee Brewers,No
16,.323,99,.298,.130,2.1%,17.2%,8.1%,16.8%,48.3%,25.8%,0.98,26.3%,56.5%,17.2%,-4.3,-0.9%,-12.5,30%,78%,40%,2012,Minnesota Twins,No
17,.316,93,.298,.137,2.3%,20.5%,8.3%,19.3%,44.5%,27.2%,0.84,26.1%,56.4%,17.6%,-1.0,3.5%,-19.3,29%,68%,42%,2012,New York Mets,No
18,.349,113,.293,.188,3.9%,18.9%,9.1%,18.8%,45.4%,27.1%,0.85,29.0%,54.5%,16.5%,8.6,9.5%,83.8,30%,78%,37%,2012,New York Yankees,No
19,.319,99,.281,.166,3.2%,22.4%,8.9%,19.3%,39.3%,30.4%,0.66,28.9%,54.7%,16.4%,1.1,6.6%,12.4,30%,79%,43%,2012,Oakland Athletics,No
20,.323,89,.290,.144,2.6%,17.7%,7.4%,18.0%,46.5%,25.6%,0.92,30.7%,52.4%,17.0%,-0.6,-1.6%,-9.0,29%,83%,40%,2012,Philadelphia Phillies,No
21,.313,93,.291,.152,2.8%,22.5%,7.4%,16.9%,44.5%,28.8%,0.84,27.2%,55.4%,17.4%,-2.5,0.7%,-19.8,29%,58%,42%,2012,Pittsburgh Pirates,No
22,.319,99,.297,.133,2.0%,20.3%,8.8%,18.0%,47.1%,25.7%,0.95,25.8%,56.8%,17.4%,-0.3,-1.9%,-2.7,29%,77%,43%,2012,San Diego Padres,No
23,.300,90,.276,.135,2.5%,20.8%,7.7%,20.0%,42.4%,26.5%,0.76,27.9%,54.7%,17.4%,-10.6,-2.5%,-76.0,28%,75%,38%,2012,Seattle Mariners,No
24,.326,107,.315,.128,1.7%,17.7%,7.8%,20.0%,45.7%,25.2%,0.88,26.6%,54.1%,19.3%,9.1,5.6%,75.2,32%,75%,36%,2012,San Francisco Giants,No
25,.340,108,.316,.150,2.5%,18.8%,8.4%,20.5%,46.7%,24.6%,0.92,25.0%,56.3%,18.6%,4.4,2.6%,78.2,31%,71%,41%,2012,St. Louis Cardinals,Yes
26,.318,99,.284,.155,2.9%,21.7%,9.4%,17.3%,42.3%,29.4%,0.76,31.7%,54.8%,13.5%,-5.0,-6.4%,-4.3,29%,75%,40%,2012,Tampa Bay Rays,No
27,.344,105,.306,.173,3.2%,17.7%,7.7%,18.7%,44.3%,28.9%,0.82,25.9%,54.9%,19.1%,3.1,3.6%,81.5,32%,67%,40%,2012,Texas Rangers,Yes
28,.320,93,.281,.161,3.3%,20.5%,7.8%,18.4%,43.5%,28.0%,0.79,28.2%,54.8%,17.0%,-4.5,0.1%,-9.1,30%,75%,46%,2012,Toronto Blue Jays,No
29,.335,101,.308,.166,3.1%,21.3%,7.7%,19.4%,44.7%,26.7%,0.85,27.3%,54.2%,18.6%,5.9,4.0%,37.4,29%,75%,38%,2012,Washington Nationals,No
0,.321,94,.301,.133,2.1%,18.0%,8.2%,23.9%,46.6%,21.5%,0.90,23.9%,57.7%,18.4%,0.5,0.6%,18.5,29%,60%,38%,2013,Arizona Diamondbacks,No
1,.328,100,.300,.153,3.0%,22.6%,8.8%,22.6%,42.7%,24.0%,0.78,29.4%,52.7%,17.9%,5.6,3.8%,47.7,28%,67%,38%,2013,Atlanta Braves,No
2,.330,100,.288,.171,3.5%,18.3%,6.8%,21.5%,43.9%,25.5%,0.80,30.1%,52.9%,17.0%,7.8,3.8%,39.7,31%,73%,37%,2013,Baltimore Orioles,No
3,.355,117,.329,.169,2.8%,20.5%,9.1%,22.9%,42.2%,26.9%,0.75,27.8%,54.5%,17.7%,11.1,7.0%,153.5,32%,87%,39%,2013,Boston Red Sox,No
4,.315,89,.275,.154,2.8%,20.2%,7.2%,22.5%,43.7%,24.5%,0.80,30.2%,52.5%,17.3%,-7.4,-1.0%,-53.1,26%,66%,43%,2013,Chicago Cubs,No
5,.305,81,.291,.129,2.4%,19.9%,6.8%,22.8%,42.6%,26.2%,0.76,28.1%,53.7%,18.2%,-15.6,-3.8%,-119.9,26%,71%,36%,2013,Chicago White Sox,No
6,.326,98,.293,.142,2.5%,19.8%,9.3%,25.4%,44.8%,20.5%,0.86,25.7%,56.1%,18.2%,0.7,1.0%,45.6,29%,66%,40%,2013,Cincinnati Reds,Yes
7,.332,109,.300,.155,2.8%,20.8%,9.1%,23.2%,43.1%,25.3%,0.78,31.2%,53.3%,15.5%,7.6,6.8%,71.9,31%,76%,40%,2013,Cleveland Indians,Yes
8,.334,89,.317,.149,2.6%,19.6%,6.9%,26.4%,44.9%,20.5%,0.85,23.7%,57.8%,18.5%,-1.5,-1.4%,14.3,30%,78%,44%,2013,Colorado Rockies,No
9,.348,114,.320,.151,2.8%,16.8%,8.3%,23.8%,43.8%,25.0%,0.80,27.4%,54.2%,18.4%,3.8,6.0%,88.2,30%,64%,33%,2013,Detroit Tigers,No
10,.303,85,.304,.136,2.5%,25.5%,7.1%,22.3%,45.8%,23.5%,0.88,27.8%,53.7%,18.5%,-15.6,-1.4%,-90.0,28%,64%,38%,2013,Houston Astros,No
11,.315,87,.300,.119,1.8%,17.2%,6.9%,21.5%,46.6%,22.5%,0.91,26.1%,56.7%,17.2%,-4.8,-3.2%,-56.7,29%,83%,43%,2013,Kansas City Royals,No
12,.332,112,.307,.150,2.6%,19.5%,8.4%,23.4%,45.3%,23.3%,0.86,26.9%,54.8%,18.3%,2.2,-0.7%,51.9,30%,71%,43%,2013,Los Angeles Angels of Anaheim,No
13,.328,104,.308,.133,2.3%,18.7%,7.8%,24.1%,43.3%,23.5%,0.80,25.3%,56.5%,18.2%,3.0,2.5%,19.2,28%,74%,38%,2013,Los Angeles Dodgers,No
14,.288,68,.280,.104,1.6%,20.5%,7.2%,22.9%,47.7%,20.2%,0.96,24.0%,57.9%,18.1%,-21.6,-2.7%,-147.7,25%,73%,40%,2013,Miami Marlins,No
15,.322,92,.294,.145,2.6%,19.5%,6.7%,21.3%,46.4%,21.8%,0.93,24.8%,54.6%,20.6%,1.0,0.9%,-11.6,28%,74%,35%,2013,Milwaukee Brewers,No
16,.313,90,.298,.138,2.4%,23.0%,8.6%,21.6%,43.6%,26.1%,0.79,26.5%,55.7%,17.7%,-7.1,-0.9%,-94.0,25%,61%,40%,2013,Minnesota Twins,No
17,.307,90,.291,.129,2.1%,22.3%,8.3%,20.7%,43.9%,25.6%,0.82,24.9%,56.1%,19.0%,-3.8,-0.2%,-23.1,28%,77%,46%,2013,New York Mets,No
18,.310,87,.285,.133,2.4%,20.1%,7.7%,20.8%,43.5%,25.4%,0.80,27.2%,56.3%,16.5%,-2.8,-2.6%,-44.1,30%,79%,35%,2013,New York Yankees,No
19,.332,107,.289,.165,3.0%,19.0%,9.2%,24.7%,37.4%,27.2%,0.61,30.1%,52.8%,17.0%,6.5,5.0%,90.2,31%,73%,42%,2013,Oakland Athletics,No
20,.313,89,.293,.135,2.3%,20.0%,6.9%,24.1%,44.9%,22.2%,0.85,29.7%,53.5%,16.8%,-2.6,-0.7%,-31.2,27%,72%,41%,2013,Philadelphia Phillies,No
21,.321,100,.294,.151,2.6%,21.7%,7.6%,22.6%,45.3%,23.1%,0.87,28.1%,56.6%,15.2%,-0.2,-1.2%,2.5,27%,69%,41%,2013,Pittsburgh Pirates,Yes
22,.312,97,.294,.133,2.4%,21.4%,7.6%,23.3%,46.1%,22.3%,0.90,29.5%,54.1%,16.4%,-0.3,-0.3%,-1.1,27%,78%,38%,2013,San Diego Padres,No
23,.312,99,.279,.152,3.1%,21.9%,8.6%,23.5%,42.1%,24.7%,0.75,29.6%,53.4%,17.0%,-5.6,-2.1%,-54.0,25%,68%,38%,2013,Seattle Mariners,No
24,.317,99,.304,.121,1.7%,17.5%,7.6%,23.3%,45.1%,22.3%,0.85,26.3%,56.0%,17.8%,3.1,2.2%,8.4,28%,72%,37%,2013,San Francisco Giants,No
25,.330,101,.314,.133,2.0%,17.9%,7.8%,25.9%,45.2%,20.8%,0.86,25.4%,56.6%,18.0%,8.6,6.8%,137.0,34%,67%,43%,2013,St. Louis Cardinals,No
26,.327,105,.295,.151,2.6%,18.8%,9.4%,21.8%,43.7%,26.3%,0.79,30.2%,53.7%,16.1%,5.3,2.2%,10.5,28%,66%,40%,2013,Tampa Bay Rays,Yes
27,.333,102,.294,.150,2.8%,17.2%,7.5%,23.0%,43.8%,23.8%,0.81,27.2%,55.8%,17.0%,0.2,-0.5%,26.3,30%,76%,42%,2013,Texas Rangers,No
28,.328,99,.284,.158,3.0%,18.3%,8.3%,22.1%,44.2%,24.0%,0.82,28.2%,55.0%,16.8%,-1.2,-0.6%,6.5,29%,73%,45%,2013,Toronto Blue Jays,No
29,.322,92,.292,.146,2.7%,19.7%,7.7%,24.0%,44.5%,22.0%,0.84,26.6%,53.9%,19.5%,0.6,-2.5%,7.3,29%,76%,42%,2013,Washington Nationals,No
0,.309,86,.293,.127,1.9%,19.1%,6.5%,26.5%,47.0%,18.8%,0.92,24.1%,58.0%,18.0%,-7.1,-0.6%,-37.3,29%,72%,42%,2014,Arizona Diamondbacks,No
1,.305,86,.298,.119,2.0%,22.6%,7.8%,24.1%,45.3%,22.0%,0.87,26.5%,55.5%,18.0%,-8.6,-5.2%,-65.2,26%,74%,40%,2014,Atlanta Braves,No
2,.330,104,.296,.166,3.4%,21.0%,6.5%,22.6%,43.6%,24.0%,0.79,31.0%,52.8%,16.2%,2.5,1.3%,28.0,29%,69%,34%,2014,Baltimore Orioles,No
3,.313,90,.297,.124,2.0%,21.5%,8.6%,23.5%,44.3%,24.9%,0.81,28.3%,56.2%,15.5%,-8.7,-3.5%,-56.3,28%,72%,42%,2014,Boston Red Sox,No
4,.309,87,.296,.146,2.6%,24.2%,7.2%,24.7%,41.9%,22.6%,0.76,30.1%,52.6%,17.3%,-7.4,-2.4%,-44.0,28%,62%,38%,2014,Chicago Cubs,No
5,.321,103,.306,.146,2.6%,22.4%,6.9%,24.0%,46.5%,21.0%,0.89,29.0%,52.4%,18.6%,3.4,2.5%,-3.7,29%,70%,39%,2014,Chicago White Sox,No
6,.305,84,.284,.127,2.2%,20.9%,6.9%,26.8%,43.3%,18.9%,0.82,27.0%,56.4%,16.5%,-9.1,-3.4%,-47.7,28%,70%,38%,2014,Cincinnati Reds,No
7,.322,96,.296,.136,2.3%,19.1%,8.1%,24.9%,43.1%,23.0%,0.79,29.5%,53.3%,17.3%,-1.1,-2.0%,-18.3,29%,79%,42%,2014,Cleveland Indians,No
8,.343,101,.326,.169,3.0%,20.8%,6.4%,26.8%,45.3%,19.1%,0.86,24.8%,58.0%,17.2%,2.3,2.9%,70.2,31%,64%,38%,2014,Colorado Rockies,No
9,.341,113,.319,.150,2.5%,18.5%,7.1%,24.0%,43.0%,25.8%,0.77,28.5%,53.8%,17.7%,6.6,8.1%,86.8,31%,72%,40%,2014,Detroit Tigers,No
10,.315,94,.298,.141,2.7%,23.8%,8.2%,23.6%,43.5%,24.3%,0.79,28.4%,53.8%,17.8%,-5.3,-2.0%,-35.8,27%,77%,36%,2014,Houston Astros,No
11,.316,90,.302,.113,1.6%,16.3%,6.3%,23.7%,46.9%,20.4%,0.91,27.0%,56.9%,16.1%,-2.5,-3.3%,-29.7,30%,81%,41%,2014,Kansas City Royals,Yes
12,.331,113,.305,.147,2.5%,20.1%,7.8%,25.0%,45.7%,20.6%,0.86,29.2%,53.9%,16.9%,9.6,6.4%,113.4,32%,68%,46%,2014,Los Angeles Angels of Anaheim,No
13,.336,112,.318,.140,2.2%,20.0%,8.3%,25.2%,47.4%,19.6%,0.95,22.9%,58.1%,19.0%,6.8,4.9%,86.0,30%,73%,41%,2014,Los Angeles Dodgers,No
14,.315,92,.316,.125,2.0%,22.9%,8.1%,25.0%,48.5%,18.4%,1.00,24.1%,56.8%,19.1%,-1.8,-1.2%,0.8,29%,73%,40%,2014,Miami Marlins,No
15,.322,94,.293,.147,2.5%,19.7%,7.0%,24.8%,44.0%,21.0%,0.83,25.8%,53.6%,20.6%,-1.3,-1.2%,-2.1,29%,70%,44%,2014,Milwaukee Brewers,No
16,.325,100,.309,.135,2.1%,21.3%,8.7%,23.9%,44.1%,23.2%,0.81,28.5%,53.2%,18.3%,0.6,-0.3%,38.9,31%,73%,44%,2014,Minnesota Twins,No
17,.309,93,.286,.126,2.0%,20.6%,8.4%,25.0%,41.6%,24.4%,0.74,27.1%,56.1%,16.8%,-2.3,-2.3%,-0.7,29%,75%,40%,2014,New York Mets,No
18,.314,93,.282,.135,2.4%,18.6%,7.4%,23.0%,43.9%,24.5%,0.80,28.7%,55.9%,15.5%,-3.1,-2.8%,-37.9,28%,81%,33%,2014,New York Yankees,No
19,.322,101,.278,.137,2.3%,17.7%,9.4%,25.6%,38.8%,25.3%,0.65,30.1%,53.0%,16.9%,1.4,1.5%,65.5,31%,81%,42%,2014,Oakland Athletics,Yes
20,.307,84,.292,.121,2.0%,21.1%,7.2%,25.1%,45.4%,20.8%,0.87,30.3%,53.1%,16.6%,-7.2,-2.3%,-35.6,28%,81%,36%,2014,Philadelphia Phillies,No
21,.333,107,.307,.145,2.5%,20.0%,8.4%,25.4%,43.9%,21.7%,0.82,26.9%,57.1%,16.0%,4.8,2.3%,44.1,28%,69%,40%,2014,Pittsburgh Pirates,Yes
22,.292,84,.277,.115,1.9%,21.9%,7.9%,23.3%,47.6%,20.6%,0.96,28.7%,54.1%,17.2%,-9.4,-3.6%,-80.5,26%,73%,40%,2014,San Diego Padres,No
